Starting up round ID Gem853-18.27.47.
-------------------------
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 94, 8))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (78, 63, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (76, 64, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (74, 65, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (72, 64, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (70, 62, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (69, 60, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (79, 63, 10))
ATTACK: P1wewe/(Chloeyaz) has attacked *no key*/(rous) with torch (INTENT: HIT) (DAMTYPE: BRUTE) (NEWHP: 56)  (the bog (85, 64, 10))
ATTACK: P1wewe/(Chloeyaz) has attacked *no key*/(rous) with torch (INTENT: HIT) (DAMTYPE: BRUTE) (NEWHP: 47)  (the bog (87, 64, 10))
ATTACK: P1wewe/(Chloeyaz) has attacked *no key*/(rous) with torch (INTENT: HIT) (DAMTYPE: BRUTE) (NEWHP: 38)  (the bog (87, 66, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (90, 68, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (87, 73, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (87, 73, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (87, 72, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (89, 70, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (91, 69, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (93, 70, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (95, 70, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (97, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (97, 71, 10))
ATTACK: P1wewe/(Chloeyaz) has thrown the torch (the bog (95, 73, 10))
ATTACK: P1wewe/(Chloeyaz) has threw and hit *no key*/(rous) with the torch (NEWHP: 38)  (the bog (95, 73, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (96, 72, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (95, 73, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (96, 72, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 100)  (the bog (97, 72, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 99)  (the bog (97, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 94)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 89)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 84)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 81.5)  (the bog (96, 70, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 76.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 71.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 66.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 64)  (the bog (95, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 59)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 54)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 49)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 46.5)  (the bog (95, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 41.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 36.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 31.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 29)  (the bog (95, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 24)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 19)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 14)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 11.5)  (the bog (96, 70, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 6.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: 1.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -4.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -7.5)  (the bog (95, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -13.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -19.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -25.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -28.5)  (the bog (97, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -34.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -40.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -46.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -49.5)  (the bog (97, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -55.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -61.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -67.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -70.5)  (the bog (96, 70, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -76.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -82.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -88.5)  (the bog (96, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -91.5)  (the bog (95, 71, 10))
ATTACK: *no key*/(rous) has attacked P1wewe/(Chloeyaz) (NEWHP: -97.5)  (the bog (96, 71, 10))
ATTACK: P1wewe/(Chloeyaz) has died (BRUTE: 412, BURN: 0, TOX: 0, OXY: 200, CLONE: 0) (the bog (96, 71, 10))
ATTACK: Jesse mller/(Devron) has grabbed Jesse mller/(Devron) passive grab (NEWHP: 100)  (wilderness (53, 89, 8))
ATTACK: Jesse mller/(Devron) has attacked [mace] with the torch (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [mace] with the torch (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [mace] with the torch (wilderness (53, 91, 8))
ATTACK: Gabriel_do_drip[DC]/(gabriela rivergard) has died (BRUTE: 91, BURN: 0, TOX: 0, OXY: 200, CLONE: 0) (outdoors (76, 71, 4))
ATTACK: Jesse mller/(Devron) has thrown the torch (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: Jesse mller/(Devron) has attacked [bars] with the mace (wilderness (53, 91, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [branch] with the torch (wilderness (45, 41, 8))
ATTACK: Jesse mller/(Devron) has died (BRUTE: 0, BURN: 0, TOX: 0, OXY: 0, CLONE: 0) (wilderness (53, 93, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [branch] with the steel dagger (wilderness (27, 82, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [branch] with the steel dagger (wilderness (9, 82, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [branch] with the steel dagger (wilderness (9, 82, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [branch] with the steel dagger (wilderness (9, 82, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [window] with the steel dagger (wilderness (76, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [window] with the steel dagger (wilderness (76, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [window] with the steel dagger (wilderness (76, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [window] with the steel dagger (wilderness (76, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [window] with the steel dagger (wilderness (76, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [window] with the steel dagger (wilderness (76, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [window] with the steel dagger (wilderness (76, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [window] with the steel dagger (wilderness (76, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has thrown the seeds (indoors rt (81, 61, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [grille] with the sickle (indoors rt (71, 62, 9))
ATTACK: P1wewe/(Nemis Blach) has climbed onto [wooden table] (indoors rt (70, 63, 9))
ATTACK: P1wewe/(Nemis Blach) has thrown the sack (indoors rt (74, 62, 9))
ATTACK: P1wewe/(Nemis Blach) has thrown the steel dagger (indoors rt (79, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [pitchfork] with the shovel (indoors rt (76, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has thrown the shovel (indoors rt (76, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked [hunting knife] with the torch (wilderness (40, 81, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked [hunting knife] with the torch (wilderness (40, 81, 8))
ATTACK: P1wewe/(Nemis Blach) has thrown the shovel (indoors rt (76, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked [pitchfork] with the shovel (indoors rt (76, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has thrown the shovel (indoors rt (76, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 4)  (wilderness (76, 57, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (wilderness (77, 58, 8))
ATTACK: P1wewe/(Nemis Blach) has shoved *no key*/(Ian) (NEWHP: 0)  (wilderness (77, 58, 8))
ATTACK: P1wewe/(Nemis Blach) has grabbed *no key*/(Ian) passive grab (NEWHP: 0)  (wilderness (77, 58, 8))
ATTACK: P1wewe/(Nemis Blach) has grabbed *no key*/(Ian) passive grab (NEWHP: 0)  (wilderness (79, 59, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (82, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (82, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked [door] with the hunting knife (indoors rt (79, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has grabbed *no key*/(Ian) passive grab (NEWHP: 0)  (indoors rt (82, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
ATTACK: P1wewe/(Nemis Blach) has attacked *no key*/(Ian) with sickle (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (81, 61, 8))
ATTACK: Niconato/(Shran'qoshai) has attacked *no key*/(Ian) with hunting knife (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 0)  (indoors rt (80, 62, 8))
