Starting up round ID Sherax558-20.05.57.
-------------------------
ATTACK: Niconato/(Urima) has attacked [wooden window] with the torch (wilderness (101, 22, 8))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 102, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 102, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 102, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 102, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 104, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 104, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 106, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 106, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 106, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 106, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (16, 106, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (15, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 110, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 110, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 110, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 110, 4))
ATTACK: TheGodGuy/(Aquila) has attacked *no key*/(skeleton) with kilij scimitar (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (12, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 110, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 109, 4))
ATTACK: TheGodGuy/(Aquila) has attacked *no key*/(skeleton) with kilij scimitar (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (12, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (13, 110, 4))
ATTACK: TheGodGuy/(Aquila) has attacked *no key*/(skeleton) with kilij scimitar (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (rockhill basin (12, 109, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 99)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 99)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 96.5)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 96.5)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 96.5)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 96.5)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 94)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 94)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 91.5)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 91.5)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 89)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 89)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 89)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 89)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 86.5)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 86.5)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 84)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 84)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 81.5)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 81.5)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 81.5)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 81.5)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 79)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 79)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 76.5)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 76.5)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 74)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 74)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 74)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 74)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 71.5)  (rockhill basin (12, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 71.5)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 69)  (rockhill basin (13, 107, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with axe (INTENT: CUT) (DAMTYPE: BRUTE) (NEWHP: 69)  (rockhill basin (12, 107, 4))
ATTACK: TheGodGuy/(Aquila) has died (BRUTE: 220, BURN: 12.6, TOX: 0, OXY: 33.5, CLONE: 0) (rockhill basin (12, 106, 4))
ATTACK: *no key*/(skeleton) has attacked TheGodGuy/(Aquila) with sword (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 66.5)  (rockhill basin (13, 107, 4))
ATTACK: TheGodGuy/(Jonathan) has attacked [bars] with the cudgel (basement (100, 80, 3))
ATTACK: TheGodGuy/(Jonathan) has attacked [bars] with the cudgel (basement (109, 78, 3))
ATTACK: TheGodGuy/(Jonathan) has attacked [iron door] with the cudgel (basement (112, 79, 3))
ATTACK: TheGodGuy/(Jonathan) has attacked [iron door] with the cudgel (basement (112, 86, 3))
ATTACK: P1wewe/(Chloeyaz) has attacked [campfire] with the torch (wilderness (66, 74, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (9u)) from the bucket to [wooden cup] (indoors rt (66, 79, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (9u)) from the bucket to [wooden cup] (indoors rt (66, 79, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (6u)) from the bucket to [wooden cup] (indoors rt (66, 79, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (9u)) from the bucket to [wooden cup] (indoors rt (67, 81, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (9u)) from the bucket to [wooden cup] (indoors rt (67, 81, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (6u)) from the bucket to [wooden cup] (indoors rt (67, 81, 8))
ATTACK: Niconato/(Urima) has attacked Niconato/(Urima) with wooden cup (INTENT: HIT) (DAMTYPE: BRUTE) (NEWHP: 100)  (indoors rt (66, 79, 8))
ATTACK: Niconato/(Urima) has attacked Niconato/(Urima) with wooden cup (INTENT: HIT) (DAMTYPE: BRUTE) (NEWHP: 100)  (indoors rt (66, 78, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [chair] with the wooden cup (indoors rt (67, 81, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (5u)) from the wooden cup to P1wewe/(Chloeyaz) (NEWHP: 100)  (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (5u)) from the wooden cup to P1wewe/(Chloeyaz) (NEWHP: 100)  (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (5u)) from the wooden cup to P1wewe/(Chloeyaz) (NEWHP: 100)  (indoors rt (67, 80, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (5u)) from the wooden cup to P1wewe/(Chloeyaz) (NEWHP: 100)  (indoors rt (67, 80, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/water (5u)) from the wooden cup to Niconato/(Urima) (NEWHP: 100)  (indoors rt (66, 79, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/water (5u)) from the wooden cup to Niconato/(Urima) (NEWHP: 100)  (indoors rt (66, 79, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [floor] with the wooden cup (indoors rt (67, 80, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/water (5u)) from the wooden cup to Niconato/(Urima) (NEWHP: 100)  (indoors rt (66, 79, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (no reagents) from the wooden cup to P1wewe/(Chloeyaz) (NEWHP: 100)  (indoors rt (67, 80, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/water (5u)) from the wooden cup to Niconato/(Urima) (NEWHP: 100)  (indoors rt (66, 79, 8))
ATTACK: Niconato/(Urima) has transferred reagents (no reagents) from the wooden cup to Niconato/(Urima) (NEWHP: 100)  (indoors rt (66, 79, 8))
ATTACK: Niconato/(Urima) has thrown the bird meat (wilderness (66, 74, 8))
ATTACK: Niconato/(Urima) has thrown the bird meat (wilderness (66, 74, 8))
ATTACK: Niconato/(Urima) has thrown the bird meat (wilderness (65, 74, 8))
ATTACK: Niconato/(Urima) has attacked [wooden cup] with the bucket (indoors rt (67, 79, 8))
ATTACK: Niconato/(Urima) has thrown the bucket (indoors rt (66, 79, 8))
ATTACK: Niconato/(Urima) has splashed (thrown) Water [floor] with in indoors rt (66, 80, 8) (indoors rt (66, 79, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (67, 86, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (67, 86, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (67, 86, 8))
ATTACK: Niconato/(Urima) has thrown the bird meat (wilderness (66, 74, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (70, 79, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (70, 79, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [branch] with the steel dagger (wilderness (70, 79, 8))
ATTACK: Niconato/(Urima) has thrown the bird meat (wilderness (66, 75, 8))
ATTACK: Niconato/(Urima) has thrown the bird meat (wilderness (68, 74, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/consumable/nutriment (5u)) from the frybird to Niconato/(Urima) (NEWHP: 100)  (wilderness (67, 73, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/consumable/nutriment (5u)) from the frybird to Niconato/(Urima) (NEWHP: 100)  (wilderness (67, 73, 8))
ATTACK: Niconato/(Urima) has transferred reagents (no reagents) from the frybird to Niconato/(Urima) (NEWHP: 100)  (wilderness (67, 73, 8))
ATTACK: Niconato/(Urima) has thrown the bird meat (indoors rt (67, 81, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/consumable/nutriment (4.2u)) from the frybird to P1wewe/(Chloeyaz) (NEWHP: 100)  (wilderness (67, 75, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/consumable/nutriment (4.2u)) from the frybird to P1wewe/(Chloeyaz) (NEWHP: 100)  (wilderness (67, 75, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (no reagents) from the frybird to P1wewe/(Chloeyaz) (NEWHP: 100)  (wilderness (67, 75, 8))
ATTACK: P1wewe/(Chloeyaz) has thrown the frybird (wilderness (67, 75, 8))
ATTACK: P1wewe/(Chloeyaz) has climbed onto [wooden table] (indoors rt (66, 81, 8))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: Niconato/(Urima) has attacked [door] with the mace (indoors rt (63, 81, 9))
ATTACK: P1wewe/(Chloeyaz) has grabbed Niconato/(Urima) passive grab (NEWHP: 100)  (indoors rt (59, 80, 9))
ATTACK: P1wewe/(Chloeyaz) has grabbed Niconato/(Urima) passive grab (NEWHP: 100)  (indoors rt (59, 80, 9))
ATTACK: Niconato/(Urima) has attacked [brazier] with the torch (indoors rt (67, 78, 8))
ATTACK: TheGodGuy/(Jonathan) has attacked TheGodGuy/(Jonathan) with cudgel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (48, 107, 4))
ATTACK: TheGodGuy/(Jonathan) has attacked TheGodGuy/(Jonathan) with cudgel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (48, 107, 4))
ATTACK: TheGodGuy/(Jonathan) has attacked TheGodGuy/(Jonathan) with cudgel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (51, 109, 4))
ATTACK: TheGodGuy/(Jonathan) has attacked TheGodGuy/(Jonathan) with cudgel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (51, 109, 4))
ATTACK: TheGodGuy/(Jonathan) has attacked TheGodGuy/(Jonathan) with cudgel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (51, 110, 4))
ATTACK: TheGodGuy/(Jonathan) has attacked TheGodGuy/(Jonathan) with cudgel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (51, 110, 4))
ATTACK: TheGodGuy/(Jonathan) has attacked TheGodGuy/(Jonathan) with cudgel (INTENT: STRIKE) (DAMTYPE: BRUTE) (NEWHP: 100)  (outdoors (51, 110, 4))
ATTACK: TheGodGuy/(Jonathan) has attacked TheGodGuy/(Jonathan) with cudgel (INTENT: TOUCH) (DAMTYPE: BRUTE) (NEWHP: 100)  (sewer (51, 111, 3))
ATTACK: TheGodGuy[DC]/(Jonathan) has died (BRUTE: 146.4, BURN: 0, TOX: 0, OXY: 200, CLONE: 0) (sewer (51, 111, 3))
ATTACK: Niconato/(Urima) has thrown the goblet (indoors rt (67, 81, 8))
ATTACK: P1wewe/(Chloeyaz) has thrown the rotten bird meat (wilderness (68, 74, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [campfire] with the torch (wilderness (67, 75, 8))
ATTACK: Niconato/(Urima) has attacked [brazier] with the torch (indoors rt (67, 78, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [campfire] with the torch (wilderness (66, 74, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [campfire] with the torch (wilderness (66, 74, 8))
ATTACK: Niconato/(Urima) has attacked [campfire] with the torch (wilderness (67, 73, 8))
ATTACK: Niconato/(Urima) has attacked [campfire] with the torch (wilderness (67, 73, 8))
ATTACK: P1wewe/(Chloeyaz) has thrown the torch (wilderness (65, 76, 8))
ATTACK: Niconato/(Urima) has attacked [brazier] with the torch (indoors rt (67, 78, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [floor] with the bucket (indoors rt (59, 82, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [water] with the bucket (wilderness (53, 64, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (5u)) from the bucket to P1wewe/(Chloeyaz) (NEWHP: 100)  (wilderness (53, 69, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (5u)) from the bucket to P1wewe/(Chloeyaz) (NEWHP: 100)  (wilderness (53, 69, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (5u)) from the bucket to P1wewe/(Chloeyaz) (NEWHP: 100)  (wilderness (53, 69, 8))
ATTACK: P1wewe/(Chloeyaz) has transferred reagents (/datum/reagent/water (5u)) from the bucket to P1wewe/(Chloeyaz) (NEWHP: 100)  (wilderness (53, 69, 8))
ATTACK: Niconato/(Urima) has attacked [campfire] with the torch (wilderness (67, 75, 8))
ATTACK: P1wewe/(Chloeyaz) has thrown the rotten bird meat (wilderness (68, 74, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/water (5u)) from the bucket to Niconato/(Urima) (NEWHP: 100)  (wilderness (64, 74, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/water (5u)) from the bucket to Niconato/(Urima) (NEWHP: 100)  (wilderness (64, 74, 8))
ATTACK: Niconato/(Urima) has transferred reagents (/datum/reagent/water (5u)) from the bucket to Niconato/(Urima) (NEWHP: 100)  (wilderness (64, 74, 8))
ATTACK: Niconato/(Urima) has attacked [campfire] with the torch (wilderness (66, 74, 8))
ATTACK: thegodguy/(Theodal) has attacked [branch] with the torch (wilderness (70, 120, 8))
ATTACK: thegodguy/(Theodal) has attacked [branch] with the torch (wilderness (70, 120, 8))
ATTACK: thegodguy/(Theodal) has attacked [branch] with the torch (wilderness (70, 121, 8))
ATTACK: thegodguy/(Theodal) has attacked [branch] with the torch (wilderness (70, 122, 8))
ATTACK: thegodguy/(Theodal) has attacked [branch] with the torch (wilderness (70, 122, 8))
ATTACK: thegodguy/(Theodal) has attacked [branch] with the torch (wilderness (71, 122, 8))
ATTACK: P1wewe/(Chloeyaz) has attacked [chair] with the steel dagger (indoors rt (67, 80, 8))
